"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","08-Sep-2017","        298.95","        300.00","        301.70","        298.50","        301.15","        300.50","        299.79","    4517471","          1354280346.05","      75735","    3688919","         81.66"
"WIPRO","EQ","11-Sep-2017","        300.50","        301.40","        303.40","        300.25","        301.70","        301.15","        301.47","    5353348","          1613892567.45","      46081","    3829768","         71.54"
"WIPRO","EQ","12-Sep-2017","        301.15","        302.10","        302.90","        297.50","        297.95","        298.10","        299.07","    7841809","          2345210871.45","      81503","    5631830","         71.82"
"WIPRO","EQ","13-Sep-2017","        298.10","        298.10","        299.70","        295.30","        297.25","        295.90","        297.00","    6631530","          1969545617.40","      63003","    5456431","         82.28"
"WIPRO","EQ","14-Sep-2017","        295.90","        281.50","        288.90","        281.20","        283.25","        283.45","        283.65","    5813915","          1649121487.50","      62045","    3324781","         57.19"
"WIPRO","EQ","15-Sep-2017","        283.45","        287.00","        287.25","        281.65","        286.05","        285.75","        285.31","    5625481","          1604985473.90","      53142","    4012819","         71.33"
"WIPRO","EQ","18-Sep-2017","        285.75","        283.50","        290.00","        283.50","        289.15","        289.30","        288.14","    1822747","           525203930.70","      19320","    1098770","         60.28"
"WIPRO","EQ","19-Sep-2017","        289.30","        289.30","        291.45","        287.50","        289.00","        289.25","        289.58","    1708963","           494887238.90","      13006","     971471","         56.85"
"WIPRO","EQ","20-Sep-2017","        289.25","        288.85","        292.15","        286.25","        291.70","        291.90","        289.15","    2142355","           619456806.65","      16833","    1533308","         71.57"
"WIPRO","EQ","21-Sep-2017","        291.90","        290.60","        292.90","        289.70","        291.90","        291.90","        291.30","    1857914","           541214118.95","      12261","    1359783","         73.19"
"WIPRO","EQ","22-Sep-2017","        291.90","        290.65","        294.95","        290.45","        293.95","        294.45","        293.38","    3036437","           890841970.95","      28634","    2018627","         66.48"
"WIPRO","EQ","25-Sep-2017","        294.45","        293.20","        294.55","        290.10","        291.00","        291.90","        292.08","    1342043","           391982495.85","      23607","     633685","         47.22"
"WIPRO","EQ","26-Sep-2017","        291.90","        291.00","        292.30","        289.05","        289.60","        290.25","        290.22","    1552002","           450426816.55","      15709","     840021","         54.12"
"WIPRO","EQ","27-Sep-2017","        290.25","        290.65","        290.80","        287.30","        288.15","        288.30","        288.59","    2288571","           660452520.95","      32969","    1665762","         72.79"
"WIPRO","EQ","28-Sep-2017","        288.30","        289.65","        290.25","        284.90","        286.40","        285.90","        286.08","    3991666","          1141938716.60","      43274","    3038914","         76.13"
"WIPRO","EQ","29-Sep-2017","        285.90","        287.25","        287.90","        279.20","        280.20","        280.25","        283.08","    1588557","           449695023.80","      31426","     884446","         55.68"
"WIPRO","EQ","03-Oct-2017","        280.25","        281.40","        285.65","        280.25","        282.90","        282.95","        283.28","    1286305","           364381257.90","      21722","     640438","         49.79"
"WIPRO","EQ","04-Oct-2017","        282.95","        282.90","        286.25","        281.60","        282.70","        282.75","        283.86","     875598","           248548182.80","      13313","     379960","         43.39"
"WIPRO","EQ","05-Oct-2017","        282.75","        283.60","        285.00","        281.95","        283.40","        283.60","        283.86","     580154","           164682508.30","       7354","     189786","         32.71"
"WIPRO","EQ","06-Oct-2017","        283.60","        285.00","        287.00","        283.75","        286.50","        286.60","        286.15","    1493349","           427328877.65","      14811","    1011627","         67.74"
"WIPRO","EQ","09-Oct-2017","        286.60","        285.95","        287.30","        284.55","        286.95","        286.80","        286.08","     506365","           144859001.40","       8553","     220046","         43.46"
"WIPRO","EQ","10-Oct-2017","        286.80","        286.80","        288.30","        285.00","        287.90","        287.00","        286.83","     913273","           261957724.40","      12532","     621423","         68.04"
"WIPRO","EQ","11-Oct-2017","        287.00","        286.95","        291.85","        286.20","        291.00","        290.65","        289.49","    1917664","           555140508.80","      22890","    1543781","         80.50"
"WIPRO","EQ","12-Oct-2017","        290.65","        291.00","        295.00","        289.90","        292.90","        293.45","        292.67","    1728000","           505737700.85","      20590","    1284526","         74.34"
"WIPRO","EQ","13-Oct-2017","        293.45","        294.55","        295.75","        290.80","        291.70","        291.90","        292.43","    1583494","           463067603.00","      30166","    1008391","         63.68"
"WIPRO","EQ","16-Oct-2017","        291.90","        291.90","        292.45","        287.25","        290.70","        290.70","        289.72","    2601918","           753838966.40","      28620","    1605276","         61.70"
"WIPRO","EQ","17-Oct-2017","        290.70","        292.00","        292.65","        286.15","        290.05","        289.85","        290.20","    3690358","          1070933657.65","      45038","    2229555","         60.42"
"WIPRO","EQ","18-Oct-2017","        289.85","        289.60","        299.10","        289.60","        295.40","        294.75","        294.60","    5449623","          1605482672.35","      81745","    2026060","         37.18"
"WIPRO","EQ","19-Oct-2017","        294.75","        294.80","        294.80","        291.10","        292.10","        292.05","        292.41","     277319","            81091489.25","       3302","     132573","         47.81"
"WIPRO","EQ","23-Oct-2017","        292.05","        292.70","        297.40","        292.30","        296.30","        296.90","        294.27","    2799741","           823886403.05","      29596","    1983350","         70.84"
"WIPRO","EQ","24-Oct-2017","        296.90","        296.45","        298.90","        295.10","        297.00","        296.80","        296.69","    1492008","           442670284.80","      22769","     947032","         63.47"
"WIPRO","EQ","25-Oct-2017","        296.80","        297.30","        301.85","        296.00","        298.50","        298.90","        299.72","    1726066","           517338266.60","      25864","    1045861","         60.59"
"WIPRO","EQ","26-Oct-2017","        298.90","        297.80","        303.95","        297.15","        299.30","        302.30","        301.35","    3776497","          1138050250.00","      35297","    2395622","         63.44"
"WIPRO","EQ","27-Oct-2017","        302.30","        299.40","        299.95","        295.00","        295.30","        296.95","        296.76","    1229178","           364767480.05","      22312","     804759","         65.47"
"WIPRO","EQ","30-Oct-2017","        296.95","        296.30","        296.30","        292.05","        293.00","        293.25","        293.23","    1428720","           418942994.75","      18677","     849250","         59.44"
"WIPRO","EQ","31-Oct-2017","        293.25","        293.25","        296.45","        292.70","        294.75","        294.05","        294.18","    1082300","           318390564.35","      14386","     537098","         49.63"
"WIPRO","EQ","01-Nov-2017","        294.05","        296.00","        296.65","        293.05","        293.80","        293.55","        294.35","     854059","           251395206.90","       9670","     295232","         34.57"
"WIPRO","EQ","02-Nov-2017","        293.55","        293.50","        295.70","        292.95","        293.70","        293.25","        293.93","     961626","           282653651.95","      12133","     524558","         54.55"
"WIPRO","EQ","03-Nov-2017","        293.25","        293.75","        295.85","        293.60","        294.40","        294.55","        294.50","     790322","           232747128.45","      21496","     446836","         56.54"
"WIPRO","EQ","06-Nov-2017","        294.55","        293.90","        301.00","        293.45","        301.00","        299.85","        297.92","    1453699","           433087332.65","      29117","     801191","         55.11"
"WIPRO","EQ","07-Nov-2017","        299.85","        299.85","        308.75","        298.25","        302.30","        302.25","        304.25","    5685446","          1729779772.95","      69185","    2212727","         38.92"
"WIPRO","EQ","08-Nov-2017","        302.25","        303.75","        306.60","        301.05","        302.30","        302.40","        303.97","    1970831","           599070272.80","      26290","     919929","         46.68"
"WIPRO","EQ","09-Nov-2017","        302.40","        303.00","        304.45","        299.60","        303.35","        302.50","        302.30","     957389","           289414188.65","      12929","     481713","         50.32"
"WIPRO","EQ","10-Nov-2017","        302.50","        302.55","        304.00","        298.25","        302.65","        302.65","        302.01","    1580252","           477253669.80","      19532","     973285","         61.59"
"WIPRO","EQ","13-Nov-2017","        302.65","        300.30","        304.40","        298.05","        298.60","        298.60","        300.60","     777589","           233744531.95","       8515","     369691","         47.54"
"WIPRO","EQ","14-Nov-2017","        298.60","        299.80","        300.15","        295.45","        299.40","        298.50","        298.04","    1329646","           396292612.90","      17161","     849951","         63.92"
"WIPRO","EQ","15-Nov-2017","        298.50","        298.50","        299.75","        294.10","        297.00","        296.50","        296.27","    1469507","           435372067.75","      16755","     871005","         59.27"
"WIPRO","EQ","16-Nov-2017","        296.50","        298.00","        299.15","        294.70","        297.00","        297.65","        296.92","    1817307","           539585763.15","      21787","    1001174","         55.09"
"WIPRO","EQ","17-Nov-2017","        297.65","        298.20","        298.85","        294.50","        295.65","        295.15","        296.27","    1740080","           515528325.60","      27104","     973869","         55.97"
"WIPRO","EQ","20-Nov-2017","        295.15","        295.10","        296.90","        292.40","        295.15","        294.35","        294.48","    1928445","           567881120.85","      21810","    1127158","         58.45"
"WIPRO","EQ","21-Nov-2017","        294.35","        297.15","        298.00","        293.15","        294.25","        294.00","        295.36","    2060394","           608556172.30","      24788","    1246370","         60.49"
"WIPRO","EQ","22-Nov-2017","        294.00","        295.70","        295.70","        293.00","        294.45","        294.30","        294.02","    1271922","           373969832.85","      24028","     829182","         65.19"
"WIPRO","EQ","23-Nov-2017","        294.30","        295.20","        295.20","        293.10","        293.50","        293.55","        293.58","     676444","           198589858.90","      10257","     297276","         43.95"
"WIPRO","EQ","24-Nov-2017","        293.55","        294.40","        294.40","        291.00","        293.65","        292.70","        292.06","    1608493","           469778470.05","      29943","     973393","         60.52"
"WIPRO","EQ","27-Nov-2017","        292.70","        291.25","        295.35","        291.00","        295.10","        294.80","        293.18","    1048839","           307497843.25","      21436","     565069","         53.88"
"WIPRO","EQ","28-Nov-2017","        294.80","        295.00","        295.90","        293.30","        294.00","        294.85","        294.70","    1503548","           443096727.75","      16227","     978767","         65.10"
"WIPRO","EQ","29-Nov-2017","        294.85","        295.00","        299.20","        293.50","        299.20","        298.65","        297.36","    2525804","           751076411.40","      30963","    1481648","         58.66"
"WIPRO","EQ","30-Nov-2017","        298.65","        299.35","        300.45","        289.35","        291.50","        291.90","        294.36","    6849560","          2016252427.40","      74940","    4058673","         59.25"
"WIPRO","EQ","01-Dec-2017","        291.90","        292.00","        293.85","        288.05","        288.55","        289.40","        290.92","    1428280","           415517755.20","      14726","     751635","         52.63"
