"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJFINSV","EQ","11-Aug-2017","       5024.75","       4990.00","       5169.40","       4913.00","       5003.00","       4992.00","       5036.28","     288737","          1454160599.75","      28085","      91687","         31.75"
"BAJAJFINSV","EQ","14-Aug-2017","       4992.00","       5050.00","       5245.00","       5049.45","       5239.60","       5222.05","       5172.53","     195624","          1011870382.75","      22725","      54781","         28.00"
"BAJAJFINSV","EQ","16-Aug-2017","       5222.05","       5269.00","       5423.50","       5169.75","       5398.10","       5356.80","       5270.45","     224358","          1182466827.70","      23951","      59994","         26.74"
"BAJAJFINSV","EQ","17-Aug-2017","       5356.80","       5384.00","       5456.50","       5281.00","       5303.85","       5304.45","       5373.03","     182299","           979497416.85","      23985","      47028","         25.80"
"BAJAJFINSV","EQ","18-Aug-2017","       5304.45","       5296.95","       5365.00","       5201.05","       5300.00","       5309.50","       5297.76","     151327","           801693393.65","      18094","      32566","         21.52"
"BAJAJFINSV","EQ","21-Aug-2017","       5309.50","       5315.00","       5360.00","       5181.05","       5220.00","       5216.85","       5242.43","     164539","           862583457.60","      14265","      82486","         50.13"
"BAJAJFINSV","EQ","22-Aug-2017","       5216.85","       5250.00","       5290.15","       5176.05","       5239.90","       5234.60","       5239.78","     130727","           684980805.35","      16203","      46612","         35.66"
"BAJAJFINSV","EQ","23-Aug-2017","       5234.60","       5249.85","       5375.00","       5220.45","       5350.00","       5351.30","       5333.64","     194647","          1038176821.30","      19015","      84142","         43.23"
"BAJAJFINSV","EQ","24-Aug-2017","       5351.30","       5399.80","       5521.00","       5304.05","       5516.00","       5506.25","       5427.52","     185689","          1007830031.20","      18782","      46484","         25.03"
"BAJAJFINSV","EQ","28-Aug-2017","       5506.25","       5557.00","       5630.00","       5530.05","       5578.00","       5578.00","       5589.76","     214750","          1200400128.65","      26897","      90572","         42.18"
"BAJAJFINSV","EQ","29-Aug-2017","       5578.00","       5575.00","       5583.60","       5425.50","       5431.10","       5442.95","       5483.00","     150716","           826375458.55","      16440","      51104","         33.91"
"BAJAJFINSV","EQ","30-Aug-2017","       5442.95","       5499.00","       5586.95","       5450.00","       5494.30","       5489.65","       5527.46","     139515","           771164168.25","      16217","      48254","         34.59"
"BAJAJFINSV","EQ","31-Aug-2017","       5489.65","       5490.00","       5540.00","       5455.55","       5518.95","       5502.85","       5496.78","     143342","           787919244.65","      19002","      78091","         54.48"
"BAJAJFINSV","EQ","01-Sep-2017","       5502.85","       5530.00","       5573.00","       5480.10","       5486.00","       5495.30","       5523.18","      91200","           503713930.65","      13150","      36628","         40.16"
"BAJAJFINSV","EQ","04-Sep-2017","       5495.30","       5495.00","       5495.00","       5345.05","       5380.00","       5377.25","       5413.28","     121880","           659770298.40","      13418","      42263","         34.68"
"BAJAJFINSV","EQ","05-Sep-2017","       5377.25","       5401.00","       5444.40","       5374.20","       5400.00","       5395.90","       5402.89","     105781","           571522936.20","      12493","      52361","         49.50"
"BAJAJFINSV","EQ","06-Sep-2017","       5395.90","       5389.90","       5520.00","       5352.30","       5450.00","       5456.15","       5471.68","     258895","          1416590181.25","      34797","     122305","         47.24"
"BAJAJFINSV","EQ","07-Sep-2017","       5456.15","       5500.00","       5650.00","       5460.00","       5635.00","       5623.80","       5556.06","     356624","          1981423592.30","      42962","     154033","         43.19"
"BAJAJFINSV","EQ","08-Sep-2017","       5623.80","       5665.00","       5680.00","       5550.00","       5594.80","       5594.75","       5600.36","     178818","          1001445626.35","      26992","      62354","         34.87"
"BAJAJFINSV","EQ","11-Sep-2017","       5594.75","       5649.00","       5790.00","       5620.00","       5733.35","       5733.30","       5739.00","     203830","          1169779826.10","      19629","      54220","         26.60"
"BAJAJFINSV","EQ","12-Sep-2017","       5733.30","       5786.00","       5786.00","       5660.00","       5676.00","       5678.90","       5691.46","     148537","           845393124.15","      13681","      68171","         45.89"
"BAJAJFINSV","EQ","13-Sep-2017","       5678.90","       5711.00","       5788.30","       5678.90","       5720.00","       5723.35","       5733.32","     161275","           924640482.20","      18891","      67346","         41.76"
"BAJAJFINSV","EQ","14-Sep-2017","       5723.35","       5775.00","       5775.00","       5660.10","       5695.00","       5680.60","       5709.27","     141118","           805681296.40","      17099","      49812","         35.30"
"BAJAJFINSV","EQ","15-Sep-2017","       5680.60","       5674.90","       5720.00","       5620.30","       5671.25","       5674.55","       5674.76","     183979","          1044036794.15","      21979","      84115","         45.72"
"BAJAJFINSV","EQ","18-Sep-2017","       5674.55","       5690.00","       5725.00","       5607.30","       5640.00","       5626.45","       5667.98","     139901","           792955806.65","      10821","      66454","         47.50"
"BAJAJFINSV","EQ","19-Sep-2017","       5626.45","       5640.00","       5673.80","       5600.00","       5663.70","       5651.25","       5635.46","     104130","           586820559.30","      14590","      39440","         37.88"
"BAJAJFINSV","EQ","20-Sep-2017","       5651.25","       5670.00","       5675.00","       5587.95","       5607.00","       5602.90","       5626.22","     126778","           713281165.55","      11095","      69739","         55.01"
"BAJAJFINSV","EQ","21-Sep-2017","       5602.90","       5606.00","       5620.00","       5442.30","       5469.00","       5486.30","       5485.91","     244183","          1339564946.15","      24201","     138453","         56.70"
"BAJAJFINSV","EQ","22-Sep-2017","       5486.30","       5440.10","       5459.00","       5200.00","       5235.00","       5231.65","       5305.49","     248932","          1320707236.15","      28172","      96139","         38.62"
"BAJAJFINSV","EQ","25-Sep-2017","       5231.65","       5230.00","       5234.80","       5001.75","       5107.00","       5110.60","       5083.78","     261373","          1328763601.45","      30508","      97870","         37.44"
"BAJAJFINSV","EQ","26-Sep-2017","       5110.60","       5100.00","       5255.05","       5005.00","       5152.65","       5170.50","       5127.74","     234772","          1203849253.10","      29002","      65271","         27.80"
"BAJAJFINSV","EQ","27-Sep-2017","       5170.50","       5220.00","       5238.10","       5045.00","       5045.00","       5071.35","       5118.86","     186629","           955328103.60","      19713","      51566","         27.63"
"BAJAJFINSV","EQ","28-Sep-2017","       5071.35","       5070.00","       5131.40","       5022.15","       5044.00","       5043.75","       5064.67","     276635","          1401066307.95","      23176","     138725","         50.15"
"BAJAJFINSV","EQ","29-Sep-2017","       5043.75","       5099.00","       5246.00","       5062.60","       5175.00","       5154.45","       5153.45","     236821","          1220445000.65","      26277","      96627","         40.80"
"BAJAJFINSV","EQ","03-Oct-2017","       5154.45","       5210.00","       5344.85","       5141.00","       5315.05","       5325.45","       5285.81","     297740","          1573796921.45","      30519","     142863","         47.98"
"BAJAJFINSV","EQ","04-Oct-2017","       5325.45","       5348.00","       5348.00","       5250.00","       5280.00","       5274.50","       5296.06","     116412","           616524615.35","      16798","      39093","         33.58"
"BAJAJFINSV","EQ","05-Oct-2017","       5274.50","       5299.00","       5326.00","       5209.30","       5255.85","       5258.70","       5291.30","     128849","           681778229.55","      21280","      53836","         41.78"
"BAJAJFINSV","EQ","06-Oct-2017","       5258.70","       5285.00","       5354.00","       5245.55","       5297.00","       5297.95","       5305.97","     257532","          1366458068.05","      24454","      98190","         38.13"
"BAJAJFINSV","EQ","09-Oct-2017","       5297.95","       5318.85","       5367.65","       5290.00","       5302.00","       5305.80","       5324.93","     131215","           698711234.75","      12847","      47141","         35.93"
"BAJAJFINSV","EQ","10-Oct-2017","       5305.80","       5355.00","       5360.00","       5306.80","       5329.10","       5333.65","       5343.32","      94363","           504211382.65","      10156","      32631","         34.58"
"BAJAJFINSV","EQ","11-Oct-2017","       5333.65","       5365.00","       5448.80","       5250.05","       5275.00","       5301.20","       5366.72","     324156","          1739652899.20","      36335","     136367","         42.07"
"BAJAJFINSV","EQ","12-Oct-2017","       5301.20","       5309.95","       5403.00","       5290.00","       5403.00","       5392.15","       5349.54","     144302","           771949457.80","      18836","      53866","         37.33"
"BAJAJFINSV","EQ","13-Oct-2017","       5392.15","       5415.00","       5448.00","       5360.00","       5389.00","       5375.25","       5397.22","     131788","           711288591.70","      10807","      55395","         42.03"
"BAJAJFINSV","EQ","16-Oct-2017","       5375.25","       5429.00","       5436.60","       5315.20","       5337.95","       5354.30","       5392.57","     136498","           736074639.40","      13797","      43420","         31.81"
"BAJAJFINSV","EQ","17-Oct-2017","       5354.30","       5380.00","       5414.65","       5307.75","       5348.80","       5356.75","       5368.56","     138637","           744281645.65","      13325","      47749","         34.44"
"BAJAJFINSV","EQ","18-Oct-2017","       5356.75","       5379.80","       5379.80","       4827.10","       5320.00","       5315.05","       5326.46","     101122","           538622518.15","      11288","      30554","         30.21"
"BAJAJFINSV","EQ","19-Oct-2017","       5315.05","       5343.00","       5343.00","       5250.00","       5250.00","       5306.10","       5311.97","      21122","           112199331.40","       1957","       9057","         42.88"
"BAJAJFINSV","EQ","23-Oct-2017","       5306.10","       5275.00","       5327.00","       5235.00","       5327.00","       5287.30","       5272.47","      88707","           467704900.80","       9532","      24251","         27.34"
"BAJAJFINSV","EQ","24-Oct-2017","       5287.30","       5331.00","       5335.00","       5243.05","       5250.00","       5252.80","       5281.63","      83074","           438765789.55","      11166","      34418","         41.43"
"BAJAJFINSV","EQ","25-Oct-2017","       5252.80","       5278.00","       5376.00","       4906.20","       5001.05","       4997.00","       5043.32","     242390","          1222450047.35","      24716","      86814","         35.82"
"BAJAJFINSV","EQ","26-Oct-2017","       4997.00","       4990.00","       5067.00","       4885.20","       5014.00","       4982.00","       4991.07","     233169","          1163763039.95","      28352","      75922","         32.56"
"BAJAJFINSV","EQ","27-Oct-2017","       4982.00","       4988.80","       5089.25","       4988.80","       5025.00","       5033.95","       5043.09","     158840","           801043627.85","      21295","      74440","         46.86"
"BAJAJFINSV","EQ","30-Oct-2017","       5033.95","       5064.00","       5075.00","       4971.95","       5000.00","       4994.85","       5003.67","     110610","           553456283.40","      14777","      47876","         43.28"
"BAJAJFINSV","EQ","31-Oct-2017","       4994.85","       5015.00","       5158.75","       4881.00","       5049.80","       5010.35","       5013.74","     318607","          1597411431.30","      33563","     112128","         35.19"
"BAJAJFINSV","EQ","01-Nov-2017","       5010.35","       5050.00","       5099.00","       5000.00","       5025.00","       5022.60","       5048.02","      99629","           502929057.10","      10573","      42923","         43.08"
"BAJAJFINSV","EQ","02-Nov-2017","       5022.60","       5068.00","       5068.00","       4970.00","       4978.00","       4982.15","       5018.64","      79540","           399182275.50","       9119","      30240","         38.02"
"BAJAJFINSV","EQ","03-Nov-2017","       4982.15","       4989.00","       5082.20","       4965.00","       5020.00","       5032.60","       5033.83","     123701","           622690217.15","      14733","      43596","         35.24"
"BAJAJFINSV","EQ","06-Nov-2017","       5032.60","       5030.00","       5050.00","       4992.00","       5010.00","       5009.60","       5011.37","      79496","           398384139.45","       7156","      35480","         44.63"
"BAJAJFINSV","EQ","07-Nov-2017","       5009.60","       5038.00","       5038.00","       4955.00","       4976.00","       4981.00","       4990.90","     101453","           506341608.95","       8714","      57389","         56.57"
"BAJAJFINSV","EQ","08-Nov-2017","       4981.00","       5005.00","       5044.45","       4950.00","       5018.00","       5022.70","       5015.23","     140928","           706786407.30","      11699","      65283","         46.32"
"BAJAJFINSV","EQ","09-Nov-2017","       5022.70","       5005.10","       5094.00","       4991.40","       5005.20","       5006.75","       5023.92","     139597","           701323916.30","      11227","      64664","         46.32"
"BAJAJFINSV","EQ","10-Nov-2017","       5006.75","       5021.00","       5075.25","       4990.00","       5035.00","       5027.45","       5032.71","      84973","           427644368.85","       7306","      35672","         41.98"
"BAJAJFINSV","EQ","13-Nov-2017","       5027.45","       5028.00","       5050.00","       4962.60","       4974.75","       4998.35","       5002.27","      84985","           425117879.00","       6970","      44440","         52.29"
"BAJAJFINSV","EQ","14-Nov-2017","       4998.35","       4978.35","       5059.00","       4964.50","       5020.00","       5014.40","       5008.75","      65822","           329685765.30","       8158","      27397","         41.62"
"BAJAJFINSV","EQ","15-Nov-2017","       5014.40","       5024.85","       5049.00","       4850.00","       4912.00","       4902.65","       4953.82","     116297","           576114009.65","      13279","      59612","         51.26"
"BAJAJFINSV","EQ","16-Nov-2017","       4902.65","       4949.00","       5009.35","       4905.05","       4990.60","       4984.75","       4959.63","      84334","           418265667.40","      12188","      28733","         34.07"
"BAJAJFINSV","EQ","17-Nov-2017","       4984.75","       5030.00","       5195.65","       5015.05","       5132.00","       5129.75","       5125.30","     227223","          1164586090.30","      19349","      67597","         29.75"
"BAJAJFINSV","EQ","20-Nov-2017","       5129.75","       5156.80","       5215.00","       5144.10","       5171.00","       5173.55","       5179.54","      85975","           445311165.45","      11021","      25706","         29.90"
"BAJAJFINSV","EQ","21-Nov-2017","       5173.55","       5200.00","       5244.00","       5115.00","       5210.00","       5206.20","       5189.29","     105469","           547308805.10","      11051","      36623","         34.72"
"BAJAJFINSV","EQ","22-Nov-2017","       5206.20","       5206.00","       5221.00","       5150.00","       5180.00","       5176.35","       5175.01","     104244","           539464125.75","      10879","      64457","         61.83"
"BAJAJFINSV","EQ","23-Nov-2017","       5176.35","       5188.00","       5189.00","       5101.00","       5125.00","       5133.60","       5135.69","      81941","           420823846.65","       6859","      39231","         47.88"
"BAJAJFINSV","EQ","24-Nov-2017","       5133.60","       5141.10","       5191.00","       5123.65","       5160.00","       5160.60","       5158.37","      67352","           347426343.50","       6511","      20654","         30.67"
"BAJAJFINSV","EQ","27-Nov-2017","       5160.60","       5159.00","       5159.95","       5121.00","       5148.90","       5151.85","       5140.94","      95340","           490137055.40","       6580","      71921","         75.44"
"BAJAJFINSV","EQ","28-Nov-2017","       5151.85","       5145.05","       5274.80","       5122.65","       5244.00","       5240.20","       5226.94","     153601","           802862908.80","      15165","      52673","         34.29"
"BAJAJFINSV","EQ","29-Nov-2017","       5240.20","       5260.00","       5349.00","       5224.85","       5290.00","       5305.60","       5303.12","     161851","           858315606.55","      13434","      78361","         48.42"
"BAJAJFINSV","EQ","30-Nov-2017","       5305.60","       5251.50","       5290.00","       5151.00","       5185.00","       5214.10","       5224.14","     282218","          1474345649.95","      26664","     203920","         72.26"
"BAJAJFINSV","EQ","01-Dec-2017","       5214.10","       5213.75","       5282.25","       5060.00","       5075.30","       5098.85","       5176.89","      98823","           511595696.70","      11407","      34190","         34.60"
"BAJAJFINSV","EQ","04-Dec-2017","       5098.85","       5100.00","       5137.00","       5005.00","       5065.00","       5056.80","       5044.74","     131794","           664866498.10","      20631","      72655","         55.13"
"BAJAJFINSV","EQ","05-Dec-2017","       5056.80","       5051.05","       5084.30","       4982.80","       5001.50","       5003.65","       5017.23","     154886","           777097972.60","      13593","      88629","         57.22"
"BAJAJFINSV","EQ","06-Dec-2017","       5003.65","       4970.05","       5032.95","       4905.00","       4967.00","       4964.65","       4978.09","     208715","          1039002147.20","      32698","     105190","         50.40"
"BAJAJFINSV","EQ","07-Dec-2017","       4964.65","       4940.00","       5093.00","       4940.00","       5069.35","       5070.20","       5041.68","     120619","           608122929.80","      15910","      50646","         41.99"
"BAJAJFINSV","EQ","08-Dec-2017","       5070.20","       5090.00","       5147.70","       5070.20","       5111.35","       5125.10","       5116.32","     141024","           721523975.20","      14311","      91025","         64.55"
"BAJAJFINSV","EQ","11-Dec-2017","       5125.10","       5159.00","       5159.00","       5059.65","       5110.00","       5106.30","       5102.50","      81543","           416073052.95","       8824","      42388","         51.98"
"BAJAJFINSV","EQ","12-Dec-2017","       5106.30","       5120.00","       5129.00","       5073.50","       5112.00","       5109.70","       5104.04","     118285","           603731511.65","      12142","      70554","         59.65"
"BAJAJFINSV","EQ","13-Dec-2017","       5109.70","       5114.85","       5125.00","       5001.15","       5091.00","       5056.15","       5069.58","     117002","           593151020.35","      11371","      61991","         52.98"
"BAJAJFINSV","EQ","14-Dec-2017","       5056.15","       5000.00","       5132.00","       5000.00","       5115.00","       5116.25","       5075.63","     161585","           820146186.20","      18234","     107001","         66.22"
"BAJAJFINSV","EQ","15-Dec-2017","       5116.25","       5160.00","       5187.50","       5111.50","       5160.00","       5170.35","       5158.09","     145700","           751533785.35","      15491","      89338","         61.32"
"BAJAJFINSV","EQ","18-Dec-2017","       5170.35","       5050.00","       5233.80","       5004.05","       5220.00","       5210.60","       5170.41","      99880","           516420074.25","       9558","      29174","         29.21"
"BAJAJFINSV","EQ","19-Dec-2017","       5210.60","       5255.00","       5288.00","       5201.20","       5275.00","       5279.50","       5258.69","      91737","           482416852.35","       8125","      37711","         41.11"
"BAJAJFINSV","EQ","20-Dec-2017","       5279.50","       5288.00","       5340.00","       5271.00","       5322.80","       5312.70","       5308.85","     100708","           534643570.75","       7782","      55095","         54.71"
"BAJAJFINSV","EQ","21-Dec-2017","       5312.70","       5340.00","       5370.00","       5315.10","       5340.00","       5353.35","       5349.33","      87711","           469194662.65","      12111","      51829","         59.09"
"BAJAJFINSV","EQ","22-Dec-2017","       5353.35","       5316.00","       5444.90","       5316.00","       5420.00","       5428.15","       5405.59","     116452","           629491245.85","      11564","      58435","         50.18"
"BAJAJFINSV","EQ","26-Dec-2017","       5428.15","       5431.90","       5435.00","       5355.00","       5402.00","       5403.55","       5400.12","      59737","           322586740.60","       5643","      29825","         49.93"
"BAJAJFINSV","EQ","27-Dec-2017","       5403.55","       5411.00","       5418.80","       5280.80","       5328.00","       5326.30","       5336.67","      78924","           421191659.30","       8267","      25058","         31.75"
"BAJAJFINSV","EQ","28-Dec-2017","       5326.30","       5291.00","       5357.00","       5266.35","       5303.00","       5305.75","       5313.41","     137276","           729403511.90","      13613","      48069","         35.02"
"BAJAJFINSV","EQ","29-Dec-2017","       5305.75","       5280.05","       5330.00","       5185.25","       5234.00","       5230.40","       5259.59","      78892","           414939638.85","      10336","      30454","         38.60"
